1	5	6	3	4	4	4	4	1	1	4	3	4	4	5	2	3	3	4	6	5	4	3	6	2	7	6	2	3	2	6	3	5	3	5	2	2	2	1	3	1	1	1	1	3.6153846153846154	3.8333333333333335	4.5
1	5	5	5	6	6	3	6	4	5	3	6	4	3	4	4	5	4	5	4	3	5	4	6	3	4	3	5	5	5	3	2	3	3	4	2	2	3	1	7	1	1	2	3	4.6923076923076925	4.333333333333333	4.5
1	4	5	7	4	3	3	5	1	4	6	6	6	4	6	5	4	4	5	5	4	5	3	7	4	5	5	6	4	4	3	5	4	2	6	2	3	4	1	10	1	1	1	1	4.461538461538462	4.833333333333333	4.75
1	5	5	3	5	5	5	5	2	5	2	2	4	3	2	2	2	4	4	4	4	5	5	5	2	6	5	5	5	5	5	5	5	5	5	1	3	3	1	5	1	1	1	1	3.923076923076923	3	4.75
1	6	7	5	6	6	6	7	5	7	6	7	6	7	6	5	5	3	2	3	4	6	5	7	5	7	7	4	6	7	4	6	5	5	7	2	3	2	1	1	1	1	1	2	6.230769230769231	4	5.5
1	5	5	3	6	3	4	5	3	4	5	4	5	2	5	4	5	3	6	3	5	4	6	5	3	5	6	5	3	5	4	5	6	4	4	1	3	2	1	2	1	1	2	3	4.153846153846154	4.333333333333333	5
1	6	6	5	4	3	1	2	2	1	4	6	5	3	6	5	6	5	3	4	5	5	5	5	3	7	4	2	3	3	5	6	6	2	3	1	4	3	1	9	1	1	4	4	3.6923076923076925	4.833333333333333	5
1	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	5	5	5	5	2	3	2	1	6	1	1	1	2	4.846153846153846	5	4.75
1	5	5	4	6	6	6	6	6	6	6	5	2	2	4	6	6	3	5	6	6	6	4	6	6	5	5	6	6	6	6	5	6	5	4	1	4	3	1	5	1	1	1	1	5	5	5.5
1	6	5	6	7	6	5	5	6	6	6	5	6	5	6	5	6	5	4	4	6	5	5	4	6	5	6	4	5	4	5	5	6	6	7	1	2	2	1	6	1	1	1	1	5.6923076923076925	5	5
